,location,Zone / Region,Observer Affiliation,Activity,Cloud Cover,Temperature (F),New or Recent Snowfall (cm),Rain/Snow Line,Snow Available For Transport,Wind Loading,Weather Summary,Observation Date,Submission Date,Observer Name,Observer type,Observation Summary,SIGNS OF INSTABILITY,Instability Comments,Latitude,Longitude,Route,Location,Distribution,Sensitivity,Size
10,Skiumah Lake,Flathead Range & Glacier NP,,Skiing/Snowboarding,Clear (No clouds),40,Not Observed,Not Observed,Small Amounts,None,Too hot for march.,"Mar 15, 2024","Mar 15, 2024",Al Goretex,public,Dry snow at middle and upper elevations on polar aspects until our exit at 2 pm,Avalanches Observed,Saw that crown on the northwest shoulder of Penrose that someone posted the other day.,48.402214,-114.13365,"Hwy up the summer trail to lake, then reverse.",,,,
11,Skook Face,Whitefish Range,Flathead Avalanche Center,Skiing/Snowboarding,"Few (Mostly Clear, up to 2/8 covered)",Above freezing,0,5000,Small Amounts,None,,"Mar 15, 2024 (10:00 - 15:30)","Mar 15, 2024",Mark Dundas,forecaster,"We traveled to the southern Whitefish Range to observe how the snowpack handles spring-like temperatures.

This morning, we observed fields of rollerballs on southerly mid- and upper-elevation slopes, which were formed by the initial warming on March 14. We also noticed two small (D1.5) wet loose slides in the Skook Chutes.
Areas affected by the warming had a knife-hard crust up to 5 cm thick on steep mid-elevation southerly slopes, which broke down late morning. This crust thinned and became weaker at upper elevations. 
During today's intense heat, numerous rollerballs and one small (D1.5) wet loose slide occurred on southerly slopes. 
The snow on northerly slopes remained dry as of our exit at 1500.",Avalanches Observed,"Warming temperatures initiated rollerballs and small, wet loose slides during our tour.",48.402214,-114.13365,The standard skin track up and down Skook Ridge.,NESWNWNESESW,IsolatedSpecificWidespread,UnreactiveStubbornReactiveTouchy,D1D2D3D4D5
12,Kupunkamint,Other,USGS,Skiing/Snowboarding,Clear (No clouds),40,None,Not Observed,Not Observed,None,,"Mar 15, 2024","Mar 15, 2024",Erich Peitzsch,professional,Observed on slab avalanche on Kupunkamint Mountain. See details in Avalanche tab.,Avalanches Observed,,48.402214,-114.13365,,,,,
13,John F Stevens Canyon/ Marias Pass,Flathead Range & Glacier NP,BNSF Avalanche Safety,Driving,Clear (No clouds),~50s,Not Observed,Not Observed,Not Observed,None,"Clear,  air temperature in the 50s (F), very light wind at Marias Pass.","Mar 15, 2024","Mar 15, 2024",,professional,US Highway 2 Observations,Avalanches Observed,,48.402214,-114.13365,Canyon observations today from US Highway 2.  Started obs at approximately 1430.,,,,
14,Skook Chutes,Whitefish Range,,Skiing/Snowboarding,,,,,,,,"Mar 14, 2024","Mar 14, 2024",,public,"Cloud cover and temperatures favorable this AM.  We bit off a small piece of the Skook Chutes facing southwest. Ski quality was not great, with several crust interfaces within the top 20cm and plenty of wet loose debris in the apron.",Avalanches Observed,,48.402214,-114.13365,,,,,
15,Arachnid,Swan Range,Flathead Avalanche Center,Skiing/Snowboarding,"Broken (Mostly Cloudy, more than 4/8 but less than 8/8)",25,5,n/a,Small Amounts,None,"overcast till about 1430, then mostly cloudy. Sun arrived around 1500 and temps began to rise above freezing. freezing line was at vehicle in the AM, but was over 6k by mid afternoon. trace of snow fell from the sky around noon.","Mar 14, 2024 (9:00) - Mar 14, 2024 (16:00)","Mar 14, 2024",Jeff Metsky,professional,"Cooler temps this morning and early afternoon with obscured skies at mid and upper elevations suprised us as we had suspected most aspects would be warmed by mid-morning.
Slopes above 5000' on NW-N aspects prior to temps warming had settled powder
Observed very large cornices on NE and E aspects hanging over Wildcat Lake
Called it a day as the clouds moved out and temps increased above freezing up to 6800'
Felt comfortable stepping out into bigger terrain with no sign of PS problem and quality safe zones to keep an eye on partners.",Avalanches Observed,SW and W slopes had avalanche activity from yesterday afternoon.,48.402214,-114.13365,,NESWNWNESESW,IsolatedSpecificWidespread,UnreactiveStubbornReactiveTouchy,D1D2D3D4D5
16,Bear Creek/wolf Creek,Swan Range,Patrol Fund educator,Skiing/Snowboarding,"Broken (Mostly Cloudy, more than 4/8 but less than 8/8)",Not Observed,7cm,Not Observed,Moderate Amounts,Previous,Little to no wind,"Mar 14, 2024","Mar 14, 2024",,professional,We observed little sign of thermal input into the upper snowpack. The sun was intermittently hitting the mountains surrounding us but we stayed out of the sun for the most part. It looks like SW facing slopes were affected by winds a few days ago. New snow was not effected by wind.,None Reported,No signs of instability.,48.402214,-114.13365,"Gained the ridge between bear creek and wolf creek. Started at valley floor and went up to 6,800 ft mostly on west and North facing terrain.After seeing no signs of instability, no results in our pits, and a lack of sun warming the slopes, we opened our standby terrain and skied 35-40 degree  plainer  slopes. We avoided any rocky terrain that might harbor or a shallower snowpack.",,,,
17,Link Mt.,Whitefish Range,Flathead Avalanche Center,Skiing/Snowboarding,"Scattered (Partly Cloudy, 3/8 to 4/8 covered)",Not Observed,Not Observed,Not Observed,Small Amounts,Previous,Cloud cover went from broken to scattered throughout the day. There was not a cloud in the sky to the north during the afternoon.,"Mar 14, 2024","Mar 14, 2024",Cam Johnson,forecaster,"We took a fast trip up to the Link Mountain Weather Station in the northern Whitefish Range.  

Cooler than forecasted temps, scattered cloud cover, and a light south wind seemed to keep wet activity at bay until our departure at 2 pm.  

We did see a fair amount of rollerballs on steep southerly aspects. It would have been easy to trigger small Wet Loose avalanches in that terrain.
Link station at 2 pm read 25 degrees F and the truck was at 44  degrees F when we returned an hour later. 


Snow on northerly aspects remained cold and dry down to about 5800 feet. The snow turned moist below that elevation. 
Signs of wind-drifted snow existed at upper elevations. 

We kept our travels to terrain less than 35 degrees and didn't expose ourselves to larger avalanche paths.",None Reported,,48.402214,-114.13365,,,,,
18,Running rabbit,Flathead Range & Glacier NP,,Skiing/Snowboarding,,,,,,,,"Mar 13, 2024","Mar 13, 2024",,public,"Partly cloudy skies and  cool temps at ridgelines  kept the new snow, 12 plus inches above 5500' uneffected by wind or sun.  We skied Sw , East and S aspects and enjoyed great skiing on these aspects and saw no signs of instabilities climbing up or skiing down. For now there is no slab above the new stout crusts on solar aspects buried around  1 foot down. This will be a concerning layer when it warms up to welcome Spring .Today  we did not step out on any steeper more consequential terrain because of the overall uncertainties of our seasons snowpack and enjoyed great powder skiing and views of our favorite zones!",None Reported,,48.402214,-114.13365,,,,,
19,Summit/Marias Pass,Other,BNSF Avalanche Safety,Skiing/Snowboarding,"Scattered (Partly Cloudy, 3/8 to 4/8 covered)",Not Observed,2,Not Observed,Moderate Amounts,Light,•	Partly cloudy with on again/off again sunshine. No precipitation.•	Light winds from the SW.•	Wind loading today was minimal in this area.•	Daytime high temperatures reached the mid-30s °F at Summit/Marias Pass.,"Mar 13, 2024","Mar 13, 2024",,professional,*Other recent wind slabs were unreactive to ski cuts.•	A new surface sun crust was beginning to form below 6000’ on previously sun-exposed slopes by late afternoon as these passed into the shade (easterly aspects).•	Slopes above 6000’ and sheltered from the wind had about 6-8” of recent settled powder.•	Impressive wind re-distribution of snow in this area with entire mountainsides scoured to the ground on more westerly aspects alongside with wind loaded gullies that had drifts pushing 20+ feet thick.•	Pike Creek SNOTEL looked to be in good shape and the snow depth readings here are accurate.,Avalanches Observed,"•	Other than the avalanche, no other signs of instability observed.",48.402214,-114.13365,"•	Ski tour from Summit/Marias Pass to the summit of Elkcalf Mtn. Passed by the Pike Creek SNOTEL.•	Objectives were to check on the Pike Creek SNOTEL, look for any recent avalanche activity, and check out the recent snowfall and wind loading in this area.",,,,
20,Flathead Range,Flathead Range & Glacier NP,Flathead Avalanche Center,Skiing/Snowboarding,"Broken (Mostly Cloudy, more than 4/8 but less than 8/8)",Not Observed,10,Not Observed,Small Amounts,Previous,Broken sky cover in the morning. Overcast in the afternoon. Freezing levels rose mid-afternoon with light snow.,"Mar 13, 2024 (9:00) - Mar 13, 2024 (16:00)","Mar 13, 2024",Cam Johnson,forecaster,"Today we went up into the Flathead Range to get a gauge on the amount of dry snow on southerly aspects ahead of the upcoming warming event.

Slabs of drifted snow were sensitive to triggers. These ranged from 4 to 10 inches thick. Slabs were failing on facets above a crust or windboard. 
The top 4 inches of snow was loose and dry. New snow below that was stiffened by strong south and west winds.
There is a crust factory on south aspects. The two that stood out were 1 and 3 feet below the surface. Both of these crusts had soft facets resting on top. These may produce Wet Slab avalanches once melt-water reaches them.  

The upcoming warming event will certainly complicate travel. Fingers crossed for overnight refreezes.",Avalanches Observed  Avalanches Triggered  Cracking Observed (isolated),Wind drifts were sensitive to our weight. We were able to trigger slabs up to a foot thick on small wind whales.,48.402214,-114.13365,,,,,
21,Southern WF Range,Whitefish Range,Flathead Avalanche Center,Skiing/Snowboarding,"Broken (Mostly Cloudy, more than 4/8 but less than 8/8)",30,10,4000',Small Amounts,None,"AM started out foggy, but clouds became broken to scattered as the day progressed. Winds were light out of the SW along ridgetops. Short periods of S-1 snow/graupel during our time in the field. Temps were above freezing when we got to around 4500'.","Mar 12, 2024 (9:30) - Mar 12, 2024 (15:30)","Mar 12, 2024",Jeff Metsky,professional,"Took a ride into the Southern Whitefish Range today to look at the crown of a recently triggered avalanche.

Found said crown on SE Aspect at 6400'.  Hard slab avalanche that failed at the facet layer above the 2/3 crust.
Shaded aspects skied great with 4 inches of recent snow above a right side up snowpack.
Any slope that has seen the sun has a thin melt freeze crust underneath the 4 inches of new snow. 
Wind affect was minimal.  
No other signs of recent avalanches or instabilities.",None Reported,None observed.,48.402214,-114.13365,,NESWNWNESESW,IsolatedSpecificWidespread,UnreactiveStubbornReactiveTouchy,D1D2D3D4D5
22,Dickey,Flathead Range & Glacier NP,,Skiing/Snowboarding,,,,,,,,"Mar 12, 2024","Mar 12, 2024",,public,"Rain turned to graupel around 4500Heavy 6-10” at 4600’, on the skin up. Ok the ski out anything below 5k wanted to slide or turn into roller balls. Intermittent gusty winds and intense graupel storms gave way to clearing skis and less wind. Lots of wind transport, one hollow collapse on open East facing terrain but couldn’t get any propagation in my pit. Recent avalanches on north face of elk and south facing chutes in north Dickey. Judging from debris looked like new/wet snow Submitted is an old crown for above Dickey lake, impressive width!",Avalanches Observed  Collapsing Observed,,48.402214,-114.13365,,,,,
23,Lost Johnny,Swan Range,Flathead Avalanche Center,Snowmobiling/Snowbiking,"Overcast (Cloudy, 8/8 covered)",Not Observed,6,4500,Small Amounts,Previous,Cloud ceiling hovered around 7k earlier in the day and lifted above surround peaks by afternoon.,"Mar 11, 2024 (9:00) - Mar 11, 2024 (16:30)","Mar 11, 2024",Cam Johnson,forecaster,"We went to the Swan Range today to look for signs of recent wind-loading and assess persistent weak layers buried in the snowpack. 

Observed no recent avalanches and no signs of collapsing or cracking. We were unable to test any recently formed slabs closer to the crest. 
Roughly 2 to 3 inches of recent snow. Previous tracks were drifted in over in places indicating recent moderate to strong winds. 
We observed no active wind transport throughout the day.
Snowpack tests showed mixed results. The propagating snowpit test we had was on a south aspect. I assume this is the same interface that led to human-triggered avalanches in the Whitefish Range. 
Cornices are LARGE along the crest. They will require a wide berth once things start to heat up again. 

Video and more pictures to come.",None Reported,,48.402214,-114.13365,"Rode up towards Hash, below the crest, and over towards Strawberry.",,,,
24,Upper Wahoo creek,Flathead Range & Glacier NP,,Skiing/Snowboarding,,,,,,,,"Mar 10, 2024","Mar 10, 2024",,public,"Our party of 2 was surprised that the clear snow in West Glacier turned to fat flakes at the Rescue creek th when we started our tour at 9 am. Those flakes were damp falling from the sky till we climbed to 5 k  soaking our layers. Here the snow surface was much drier sitting on top of the preserved 12 plus inches from last weeks storm.  It was obvious that the skiing would be good above 5k. We climbed to 6400' keeping a wide berth from the looming,  but unseen Nyak N face. We enjoyed 2 laps of fluffy snow to the lake then exited out Rescue creek. The wind never picked up at all,  it was very calm and snowing steadily the entire outing.  Exiting did not get sporty till 4500' where the snow turned clear again. The wet snow created rollerballs on turns, but never entrained.Looks like Spring on the highways,  but still Winter up high!",None Reported,,48.402214,-114.13365,,,,,
25,Hellroaring Peak,Whitefish Range,Flathead Avalanche Center,Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",26 to 37,5 to 8 cm,4000,Small Amounts,Unknown,Light snowfall and rain throughout the day. Winds were light. Visibility was limited all day.,"Mar 10, 2024 (9:00) - Mar 10, 2024 (16:30)","Mar 10, 2024",Sarah Williams,forecaster,"We took sleds from Canyon Creek today and had a day of relying on our backup plans.

After parking sleds west of WMR, we toured to Hellroaring Peak.
We observed evidence of southwest winds building drifts and fresh cornices.
Cornices were mostly stubborn. Multiple stomps would eventually cause the cornice to fail.
A melt-freeze crust was most prominent on solar aspects, however we found a surface crust on all aspects, at varying depths.
2 inches of new wet snow accumulated throughout the day.  Precipitation turned to rain around 4000 feet.",None Reported,No signs of instabilities were noted.,48.402214,-114.13365,,,,,
26,Ghoulie Point,Whitefish Range,,Skiing/Snowboarding,,,,,,,,"Mar 10, 2024","Mar 10, 2024",,public,"Our group took a brief outing to the top of Ghoulie Point where we observed a relatively stable snow pack. It was snowing during are whole excursion, leaving about 1-2 inches of wet denser snow. One of  my worries was the potential for wind slab development on northern aspects, but through investigation we found little to none in terms of wind slab development. Especially on the North - East aspect that drops into Old man's bowl. Of course there was additional snow blown in there, but not nearly enough to develop wind slabs. We eventually followed the ridge to the top of chicken bones (South aspect), where the conditions changed from nice and powdery, to wind sheered and solar affected snow. leaving us with a very crunchy, and not so fun layer of snow. We decided to not ski Chicken Bone, and simply skin back up to Ghoulie Point where we dropped the west aspect back to around tbar area. The snow on this aspect was nice and powdery, with no noticeable slab development. (At least in term of upper layers).  And one more thing: as a group we discussed that the snow found on chicken bones would be a perfect layer as a bed surface, especially with the recently added snow today.",None Reported,,48.402214,-114.13365,,,,,
27,Goulie Point,Whitefish Range,,Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",Not Observed,5,Not Observed,Small Amounts,None,,"Mar 10, 2024","Mar 11, 2024",,public,"Noted stable snow conditions in Old Man's bowl dropping in from Goulies Point.  A surface crust had formed at this southeast facing aspect at the ~6600ft location but softened a few hundred feet down where the slope flattened and received less exposure to the 3/9 afternoon sun.  1-2"" of fresh snow were present in the afternoon.",None Reported,,48.402214,-114.13365,"Goulie Point, Old Mans",,,,
28,Gullies Point- Avy 1 Patrol Fund Team Obs,Whitefish Range,,Skiing/Snowboarding,,,,,,,,"Mar 9, 2024","Mar 9, 2024",,public,Patrol Fund Avy 1 Class Observation:Dug 3 pits.  S facing aspect. ~6800’ elev.  ~mid-twenties average slope angle. Notes3 distinct ice layers were noted. No propagation. No reactivity. No obvious signs of instability. Monitored for wet slab development.,None Reported,,48.402214,-114.13365,,,,,
29,Spider bowl,Other,,Skiing/Snowboarding,,,,,,,,"Mar 9, 2024","Mar 9, 2024",,public,"First things first, I observed some FAC-adjacent angels save my butt today on the road to the Strawberry Lake trailhead after burying my truck axel deep while trying to turn around. Be warned, trust the rut and think twice before trying to drive the road too far. There aren't any good places to turn around if you don't make to the trailhead.Thanks to those angels, however, we were able to ski today! We took the highway skinner to the Spider Bowl high point and skied a direct W aspect down to the creek, then maneuvered our way back to the vehicles. The snow got warm and moist at low elevations, but early afternoon high clouds and a brisk breeze seemed to keep the mid and upper elevation snow in good shape. We observed a few small roller balls on a due S aspect by some rocks, exactly where you'd expect them, and they were no concern. Some rocks were also tumbling on to the skinner when it where up straight up the guts of the drainage.",None Reported,,48.402214,-114.13365,,,,,
30,Retirement Bowl,Whitefish Range,,Skiing/Snowboarding,,,,,,,,"Mar 9, 2024","Mar 9, 2024",,public,"No sign of instability. Only observed rollerballs and pinwheels. S-SW aspects have developed a thin crust, while N-NW aspects snow remains soft.",None Reported,,48.402214,-114.13365,,,,,
31,Hellroaring East Aspect,Whitefish Range,,Skiing/Snowboarding,,,,,,,,"Mar 9, 2024","Mar 9, 2024",,public,"180-200cm of snow across 5 test pits. CT Results: No results to CT19-CT29.  ECTN19, ECT29, ECTX.  pit results found 20 to 30cm below surface of snow. C I autious travel with a purpose of exploration and digging snow pits today. 0 inches new snow in the last 24 hours. Sunny and slight breeze/calm on this Easterly aspect.",None Reported,,48.402214,-114.13365,,,,,
32,Skookaleel,Whitefish Range,,Skiing/Snowboarding,,,,,,,,"Mar 9, 2024","Mar 9, 2024",,public,"Today we toured to Skookaleel adjacent to WMR. Sunny south facing aspects had a sun crust that was breaking down by around 12:00 pm, except near the top where wind seemed be keeping the snow colder. We dug a pit on a south facing aspect at approximately 6750'. Our pit had a partial propagation (about halfway across the column) above a 1"" thick crust 20 cm down, with moderate force (15 taps). Shaded aspects still had dry snow upon our exit around 2:00 pm.",None Reported,,48.402214,-114.13365,,,,,
33,Greater Stanton lake area,Flathead Range & Glacier NP,,Skiing/Snowboarding,"Few (Mostly Clear, up to 2/8 covered)",35,Not Observed,Not Observed,Small Amounts,Light,"20 F at start of tour, 900 am. Car read 50 F when I got back at 1430… felt/ skiied like it too :/","Mar 9, 2024","Mar 9, 2024",Al Goretex,public,"Wind, snow, and some far away crowns. nothin remarkable, other than seeing two other parties on the trail…",Avalanches Observed,Avalanches seen a ways away must have been from late feb/early march,48.402214,-114.13365,Toured up to about 6800 ft via summer trail and returned the same way,,,,
34,Grant Ridge,Flathead Range & Glacier NP,,Skiing/Snowboarding,"Scattered (Partly Cloudy, 3/8 to 4/8 covered)",32,Not Observed,Not Observed,Moderate Amounts,Intense,"- Below freezing at road elevation at start of tour at 10am, between 40-50F at road elevation at 15:30
- Experienced intense WSW wind gusts with moderate sustained winds on both forested and exposed ridges, noticed wind activity throughout all elevations on my descent 
- Wind speeds seemed to increase at about 2pm
- High thin clouds dominated the sky with periods of clear sky
- Snow was sticky and warm on all aspects below 4900ft on my way down","Mar 9, 2024","Mar 9, 2024",,public,"Sun and wind dominated the day, and with good visibility various crowns along the flathead crest were noticeable.",None Reported,,48.402214,-114.13365,"Toured up to 7,000 ft via summer trail + ridge line and skied down the same way",,,,
35,Calf Robe,Other,,Skiing/Snowboarding,,,,,,,,"Mar 9, 2024","Mar 9, 2024",Zachary Miller,public,"My partner and I got out for a long walk on the east side of GNP and enjoyed the clear skies, warm(ish) temperatures and stunning views. We observed no obvious signs of instability and climbed/skied on all aspects today. Easterly aspect snow surfaces began to soften from solar input around noon and southerlies followed shortly thereafter, but moistening was limited by the consistent moderate SW winds. Winds cranked up after 1:30pm and became more gusty variable in direction. We noticed small pockets of 5-15cm fresh wind slabs above softer old snow that seemed well bonded and quite soft distributed throughout our tour. Snow depths were also variable largely due to wind redistribution... it would seem. Overall, things seemed pretty darn wind-hammered and locked up but we still avoided steep north-facing slopes with expected thin cover and interspersed rocks.",None Reported,,48.402214,-114.13365,,,,,
36,Skiumah,Flathead Range & Glacier NP,,Skiing/Snowboarding,,,,,,,,"Mar 9, 2024","Mar 9, 2024",,public,"We saw large crowns on steep NE aspects off the shoulder of Penrose and wind affected snow on other aspects. 
We did not dig into the snow at all. Snow surfaces at higher elevations remained dry on all aspects. Moderate winds with high gusts helped this and some cloud cover.
We enjoyed a nice long run from 7600'.  Dry snow transitioned to wet at 5000' and the trail out was sticky which made it safer to ski out.
Really nice that last week storm snow has been holding good skiing!",None Reported,Saw lots of large crowns on steep NE facing slopes. Some N facing slopes looked to have some wind affected texture to them.,48.402214,-114.13365,,,,,
37,Skook Chutes,Whitefish Range,,Skiing/Snowboarding,,,,,,,,"Mar 9, 2024","Mar 9, 2024",,public,"Sunny skies and tropical temps. S and SW solar aspects still were capped with a 1-3cm sun crust at the time of our exit around 1300. On our descent of skook chutes, we kicked off a small (D1) wet slab that broke ~20' wide and ran about 50 vertical feet. Subtle changes in aspect made a large difference in snow temp and riding quality today.",Avalanches Observed,,48.402214,-114.13365,"Quick tour down Big Trees and up the ridge to Skook Chutes, then down. Found mostly dry snow on shaded north aspects on our descent to the canyon and a mix of dry powder, sun crusted, and quickly decomposing sun crust solar aspects.",,,,
38,Site visit to slides on Chicken Bones,Whitefish Range,Flathead Avalanche Center,Skiing/Snowboarding,"Scattered (Partly Cloudy, 3/8 to 4/8 covered)",28 to 33,none,3500,Small Amounts,None,"Clear skies and sunny until noon. Winds were light and clouds rolled in around 1215 pm. Warm air temperatures, even with light winds.","Mar 9, 2024 (8:00) - Mar 9, 2024 (14:30)","Mar 9, 2024",Sarah Williams,forecaster,"We went to the southern Whitefish Range today to visit a Level 1 course and visit the site of two reported avalanches.

Reported avalanches were confirmed to be two separate events in the same area. 
Both slides had characteristics of wind slabs with failure on a buried weak layer.
Crown depths ranged from 10cm to 40cm. The average depth was approximately 20cm.
One slide was approximately 200 feet wide, while the other was approximately 50 feet wide.
We skied south and southeast aspects. Solar input continued to warm the surface snow, making for mashed potato snow consistency turns.
The snow surface on northeast aspects stayed dry, however, our travel was limited on these aspects.",None Reported,Instability was limited to rollerballs on sunny slopes.,48.402214,-114.13365,,,,,
39,Northern flathead range,Flathead Range & Glacier NP,,Skiing/Snowboarding,,,,,,,,"Mar 9, 2024","Mar 10, 2024",,public,We found clear calm skies in the morning transitioning to high clouds and high winds in the afternoon. Numerous old crowns in various aspects but mostly around rocks and cliffs. High winds kept south aspects intact all afternoon. Skiied two north facing runs less than 40 degrees. No signs on instability found.,None Reported,,48.402214,-114.13365,,,,,
