,location,Occurrence Time,Zone / Region,Observer Affiliation,Observation Date,Associated Observation,# Avalanches:,Aspect:,Aspect Range:,Elevation:,Destructive Size:,Type:,Problem Type:,Trigger:,Occurrence Date,Observer Name,Observer type,Latitude,Longitude,Avalanche Summary,Bed Surface:,Weak Layer Grain Type:,Slope Angle:,Vertical Fall:,Relative Size:,Width:,Terminus:,Weak Layer Burial Date:,Slab Thickness:,Caught/Carried:,Partly Buried-Not Critical:,Injured:
10,Skook Chutes,13:00 (Exact),Whitefish Range,,"Mar 9, 2024",View Observation,1,SE,,5500 ft,D1,WS-Wet Slab,Wet Slab,AS-Skier,"Mar 9, 2024 (Exact)",,public,48.402214,-114.13365,"Partner kicked off a small (D1) wet slide at the bottom of the skook chutes around 5500', SE aspect at 13:00 on our descent. ",,,,50 ft,,,,,,,,
11,Dorothy Mtn - Whitefish Range,12:46 (Exact),Whitefish Range,,"Mar 7, 2024",View Observation,1,S,,6700 ft,D1.5,WL-Wet Loose,Wet Loose,AS-Skier,"Mar 7, 2024 (Exact)",,public,48.402214,-114.13365,"A small wet loose avalanche was ski-cut by a rider within the party. Given the warming and sunny conditions and the chance of having a wet/dry loose avalanche step down into a weaker persistent layer,  our party decided to descend via a more tree-protected route. Standing above a brief convex opening, the rider cut across the slope at a safe position and released the small slide.

The slide started relatively small but picked up momentum as it traveled through trees and over a small rock band. Chances of being buried were negligible, but going for a ride through the trees and rock band could have potentially been consequential. 

Would characterize the snow on the verge of wet loose from dry loose. ",,,35°,200 ft,R2,40 ft,TP - Top of Path,,10 cm (0.5 ft),,,
12,Southern Whitefish Range,13:30 (Exact),Whitefish Range,The Mtn Riding Lab,"Mar 7, 2024",View Observation,1,SE,"SE, S, SW",6200 ft,D2.5,HS-Hard Slab,Persistent Slab,AM-Snowmobileu-Unintentional,"Mar 7, 2024 (Exact)",,professional,48.402214,-114.13365,The second snowmobiler on the slope triggered a wind slab near the ridgetop that stepped down to the Feb 3 facet/crust layer.  We estimated the slab to be less than 30 cm thick where it was triggered just below the ridgeline. The avalanche propagated about 350' in both directions wrapping around the bowl. The deepest part of the crown was 80 cm. ,O-Old Snow,FC-Faceted Crystals,34°,650 ft,R3,700 ft,BP - Bottom of Path,"Feb 3, 2024",80 cm (2.5 ft),,,
13,Chicken Bones,Not Reported,Whitefish Range,,"Mar 6, 2024",View Observation,1,SE,,6000 ft,D2,SS-Soft Slab,Persistent Slab,AS-Skier,"Mar 6, 2024 (Exact)",,public,48.402214,-114.13365,While skiing down chicken bones proper I came across this slide that was set off earlier in the day.  Appears to have been skier triggered (looked like two skiers) at the convexity of the skiers left steeper “chute.”  Looked to be a D2 on the storm layer.  Crown varied from 6” to 1’ foot deep indicating wind loading as well.  ,,,,,R2,,BP - Bottom of Path,"Mar 2, 2024",30 cm (1 ft),,,
14,Top of the World,14:00 (Exact),Whitefish Range,,"Mar 6, 2024",View Observation,1,NE,,6300 ft,D1,L-Dry Loose,Dry Loose,AR-Snowboarder,"Mar 6, 2024 (Estimated)",,public,48.402214,-114.13365,"First and second riders on slope triggered dry loose avalanches that ran approximately 75’ and 10’ wide, entrained surface snow. No one caught or carried, both rode out of slides without incident. ",I-New/Old Interface,,37°,,R1,,,,,,,
15,Baptiste,Not Reported,Flathead Range & Glacier NP,,"Mar 7, 2024",View Observation,2,E,,7800 ft,D3,HS-Hard Slab,Persistent Slab,N-Natural,"Mar 5, 2024 (Estimated)",Michael Reavis,public,48.402214,-114.13365,"One recent and one old persistent slab avalanche observed in steep, alpine terrain near Baptiste Peak in the Flathead Range. 

Also noted one glide crack forming on the leeward side of Hematite with cornice fall nearby. ",,,,,,,,,,,,
16,Circus Peak,Not Reported,Flathead Range & Glacier NP,,"Mar 7, 2024",View Observation,3,E,,7500 ft,D3,HS-Hard Slab,Persistent Slab,N-Natural,"Mar 5, 2024 (Estimated)",Michael Reavis,public,48.402214,-114.13365,"Multiple D3, persistent slab avalanches observed in steep, alpine terrain on N/E aspects of Circus Peak. ",,,,,,,,,,,,
17,Tunnel Creek,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Mar 5, 2024",View Observation,3,E,"NE, E, SE",7000 ft,D1.5,SS-Soft Slab,Storm Slab,N-Natural,"Mar 4, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,Observed 6 slab avalanches at upper elevations. These all appeared roughly a foot thick. We suspect these were all soft storm slabs by the looks of the debris and crown depths. ,I-New/Old Interface,PP-Precipitation Particles,,,,,,,,,,
18,WMR Sidecountry,Not Reported,Whitefish Range,,"Mar 4, 2024",View Observation,1,SE,"E, SE",6000 ft,D1.5,SS-Soft Slab,Persistent Slab,AS-Skierc-Intentional,"Mar 4, 2024 (Exact)",,public,48.402214,-114.13365,Skier-triggered slab composed of wind-drifted snow,,,,200 ft,R2,50 ft,BP - Bottom of Path,"Mar 2, 2024",30 cm (1 ft),,,
19,WMR Sidecountry,Not Reported,Whitefish Range,,"Mar 4, 2024",,1,SE,"E, SE",6000 ft,D1.5,SS-Soft Slab,Wind Slab,AS-Skierc-Intentional,"Mar 4, 2024 (Exact)",,public,48.402214,-114.13365,Skier-triggered slab composed of wind-drifted snow,,,,200 ft,R2,18 ft,BP - Bottom of Path,,30 cm (1 ft),,,
20,Tunnel Creek,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Mar 5, 2024",View Observation,3,E,"E, NE, SE",7000 ft,D2,SS-Soft Slab,Storm Slab,N-Natural,"Mar 4, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,Observed 6 slab avalanches at upper elevations. 3 slabs were size large (D2). Few likely involved some wind-drifted snow. These all appeared roughly a foot thick. We suspect these were all soft storm slabs by the looks of the debris and crown depths. ,I-New/Old Interface,PP-Precipitation Particles,,,,,,,,,,
21,Snowshed (Sheep Creek),Not Reported,Flathead Range & Glacier NP,Glacier National Park (Snow Ranger),"Mar 5, 2024",View Observation,2,E,,6000 ft,D2,,Wind Slab,N-Natural,"Mar 4, 2024 (Estimated)",Jackson George,professional,48.402214,-114.13365,,,,,,,,,,,,,
22,Stanton-Vaught bowl,Not Reported,Flathead Range & Glacier NP,,"Mar 8, 2024",View Observation,1,E,,7100 ft,D3,HS-Hard Slab,Persistent Slab,N-Natural,"Mar 4, 2024 (Estimated)",Adam Clark,public,48.402214,-114.13365,"Unsure on the timing of this avalanche. The crown looks fresher and more recent, especially when compared to other crowns I saw yesterday of avalanches that I know ran on the night of Feb. 28th/29th. Much less recent snow on the crown for this event. I'm guessing it ran earlier this week, but uncertainty is high.
An impressive avalanche. the crown width might be pushing 2000'",O-Old Snow,FC-Faceted Crystals,,2500 ft,R4,1500 ft,,,100 cm (3.5 ft),,,
23,Lakolaho Creek drainage,13:00 (Exact),Whitefish Range,,"Mar 2, 2024",View Observation,8,N,,6000 ft,D1,SS-Soft Slab,Storm Slab,N-Natural,"Mar 2, 2024 (Exact)",,public,48.402214,-114.13365,"Multiple natural small storm snow avalanches observed breaking on specific steeper convex terrain features.  We observed both natural and remote triggered slides of this type and size. 

N aspects, 5900-6600ft, >35'

Total # of these small avalanches observed: 10+",S-New Snow,,35°,25 ft,R1,,,,10 cm (0.5 ft),,,
24,Lakolaho Creek drainage,12:45 (Exact),Whitefish Range,,"Mar 2, 2024",View Observation,1,NW,,6600 ft,D1,SS-Soft Slab,Storm Slab,AS-Skierr-Remote,"Mar 2, 2024 (Exact)",,public,48.402214,-114.13365,"Lakolaho Creek drainage, 6,600ft, NNW, ~35' slope

Skier remotely triggered.

Storm slab broke ~4in down. Crown was aprox 100 yards wide. Skier triggered, when skier crested rollover to  ~35' slope. 

We observed shooting cracks on an adjacent (lower angle) slope before triggering this slide.  We conducted a series of tests in a snowpit on a representative slope prior to committing to this slope. We did not observe propagation in our test pit. 

The slide was relatively harmless (not enough force to knock a skier off their feet) and broke below the skier, as they crested a convexity. ",S-New Snow,PP-Precipitation Particles,35°,400 ft,R1,300 ft,,,10 cm (0.5 ft),,,
25,Below a ridge N of WMR boundary,15:00 (Exact),Whitefish Range,,"Mar 2, 2024",View Observation,5,S,,6200 ft,D1,SS-Soft Slab,Storm Slab,AS-Skieru-Unintentional,"Mar 2, 2024 (Exact)",,public,48.402214,-114.13365,"Multiple small skier triggered avalanches observed on S aspects to the NW of Skook Peak.

All of these avalanches occurred within the new snow, between 6800 and 5800 feet, they were all small (D1), and they all occurred on convexities above steeper terrain features.",S-New Snow,,35°,,,,,,,,,
26,Link Mountain,06:30 (Estimated),Whitefish Range,Flathead Avalanche Center,"Mar 3, 2024",View Observation,1,S,"S, SE, SW",6500 ft,D1.5,SS-Soft Slab,Storm Slab,N-Natural,"Mar 2, 2024 (Estimated)",Jeff Metsky,professional,48.402214,-114.13365,Storm slab failure from last night or early this AM (sunday).  Most likely failed after snowfall yesterday since crown still looked clean.,I-New/Old Interface,,37°,250 ft,R1,150 ft,MP - Middle of Path,"Feb 29, 2024",40 cm (1.5 ft),,,
27,Mt. Penrose lower flanks,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Mar 8, 2024",View Observation,1,E,E,6000 ft,D3,SS-Soft Slab,,N-Natural,"Mar 1, 2024 (Estimated)",blase reardon,forecaster,48.402214,-114.13365,Debris from multiple large and very large natural avalanches on the basin floor at about 4000 feet. Debris from one slideoff Mt. Penrse swept down the center of the basin to about 4500 feet. Crowns from these avalanches visible on the north facing slopes of Nyack Mountain and Mt. Penrose.,,,,1400 ft,R3,,,,,,,
28,Marion lake (from low saddle above Peanut Butter Bowl),Not Reported,Flathead Range & Glacier NP,,"Mar 3, 2024",View Observation,1,E,,7200 ft,D2.5,U-Unknown,Deep Persistent Slab,NC-Cornice Fall,"Mar 1, 2024 (Estimated)",,public,48.402214,-114.13365,Likely natural cornice failure triggered slide from saddle above Peanut Butter Bowl.  This is separate from mid February slides.  Crown extended approximately 100m lookers left and perhaps 300m lookers right across basin.  Viewed from a distance.  But crown appears perhaps 2 feet deep and likely stepped down to previously suspect facet layer.,,,33°,600 ft,R3,,MP - Middle of Path,,,,,
29,Nyack Mountain,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Mar 8, 2024",View Observation,1,N,"N, NE",7100 ft,D3.5,HS-Hard Slab,,N-Natural,"Mar 1, 2024 (Estimated)",blase reardon,forecaster,48.402214,-114.13365,"Debris from multiple large and very large natural avalanches on the basin floor at about 4000 feet. Debris from one slideoff Mt. Penrse swept down the center of the basin to about 4500 feet. Crowns from these avalanches visible on the north facing slopes of Nyack Mountain and Mt. Penrose. The debris from the largest on Nyack was chunks of refrozen debris, with a gouged center typcial of wet snow avalanches. We suspect this slide failed late in the storm, when temperatures were warmest, and the debris entrained wet snow lower on the slope.",O-Old Snow,,,3100 ft,R3,,BP - Bottom of Path,,,,,
30,Great Northern ridgeline near the summer trail,Not Reported,Flathead Range & Glacier NP,,"Mar 9, 2024",View Observation,1,E,"NE, E",8100 ft,D2,HS-Hard Slab,Persistent Slab,N-Natural,"Feb 29, 2024 (Estimated)",,public,48.402214,-114.13365,,O-Old Snow,FC-Faceted Crystals,,400 ft,R2,200 ft,,"Feb 5, 2024",100 cm (3.5 ft),,,
31,North face Mt. Furlong - Broken Bridge,Not Reported,Flathead Range & Glacier NP,BNSF Avalanche Safety,"Feb 29, 2024",View Observation,2,N,,7200 ft,D2.5,HS-Hard Slab,Persistent Slab,N-Natural,"Feb 29, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,At least 2 separate avalanchs on this face. Both at least D2.5 size. Could not view debris terminus,O-Old Snow,FC-Faceted Crystals,40°,,R2,,U - Unknown,,100 cm (3.5 ft),,,
32,North face of Devils Hump - West Peak,Not Reported,Flathead Range & Glacier NP,BNSF Avalanche Safety,"Feb 29, 2024",View Observation,1,N,,7300 ft,D3,HS-Hard Slab,Persistent Slab,N-Natural,"Feb 29, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,Maybe triggered from a cornice fall from above?,O-Old Snow,FC-Faceted Crystals,40°,1000 ft,R3,1000 ft,U - Unknown,,,,,
33,Running Rabbit Mtn - South Face,Not Reported,Flathead Range & Glacier NP,BNSF Avalanche Safety,"Feb 29, 2024",View Observation,1,SE,,7000 ft,D2.5,HS-Hard Slab,Persistent Slab,N-Natural,"Feb 29, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,Ran to about 4600' elevation. Looks like it was maybe triggered by a wind slab avalanche from above.,O-Old Snow,FC-Faceted Crystals,,2500 ft,R3,500 ft,BP - Bottom of Path,,100 cm (3.5 ft),,,
34,SE face of Snowshed Mtn,Not Reported,Flathead Range & Glacier NP,BNSF Avalanche Safety,"Feb 29, 2024",View Observation,1,SE,,6900 ft,D2,HS-Hard Slab,Persistent Slab,N-Natural,"Feb 29, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,Limited views. Could not view full crown or see the runout. Estimate at least D2 size.,O-Old Snow,FC-Faceted Crystals,,,R2,,,,,,,
35,Snowslip Mtn - Shed 7 West,Not Reported,Flathead Range & Glacier NP,BNSF Avalanche Safety,"Feb 29, 2024",View Observation,1,SE,,6500 ft,D2.5,HS-Hard Slab,Persistent Slab,N-Natural,"Feb 29, 2024 (Estimated)",Adam Clark,professional,48.402214,-114.13365,Debris only ran to about 5200'. Too much alder in the track for a longer runout.,O-Old Snow,FC-Faceted Crystals,40°,1300 ft,R2,400 ft,MP - Middle of Path,,100 cm (3.5 ft),,,
36,Nyack Mountain,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Mar 8, 2024",View Observation,3,N,"N, NE",6500 ft,D3,U-Unknown,,N-Natural,"Feb 29, 2024 (Estimated)",blase reardon,forecaster,48.402214,-114.13365,"Debris from multiple large and very large natural avalanches on the basin floor at about 4000 feet. Debris from one slideoff Mt. Penrse swept down the center of the basin to about 4500 feet. Crowns from these avalanches visible on the north facing slopes of Nyack Mountain and Mt. Penrose. Given the few inches of snow on the debris, we estimated that most slides ran late in the cycle.",O-Old Snow,,,2500 ft,R3,500 ft,BP - Bottom of Path,,,,,
37,Diamond Peak area,Not Reported,Whitefish Range,,"Feb 29, 2024",View Observation,1,N,"NW, N",5800 ft,D2,U-Unknown,,N-Natural,"Feb 29, 2024 (Estimated)",,public,48.402214,-114.13365,Noticed a crown across the drainage from our route on a North aspect around 5800'. ,,,,,R2,200 ft,,,50 cm (1.5 ft),,,
38,Rubideau Bowl,Not Reported,Whitefish Range,Flathead Avalanche Center,"Mar 7, 2024",View Observation,1,SE,,6000 ft,D2,C-Cornice,Cornice,N-Natural,"Feb 29, 2024 (Estimated)",Mark Dundas,forecaster,48.402214,-114.13365,"A lengthy section (100+ feet) of the cornice failed and appears to have removed a depth of 10-15 feet. The debris did not trigger a slide below the cornice, although the large blocks trundled a long way downhill. The slide was denoted as a D2 due to the large blocks, which could have injured someone.",,,,500 ft,R2,,MP - Middle of Path,,,,,
39,Northeast face of Nyack Mountain,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Mar 2, 2024",View Observation,1,NE,"N, NE, E",6700 ft,D3.5,HS-Hard Slab,Persistent Slab,N-Natural,"Feb 29, 2024 (Estimated)",Sarah Williams,forecaster,48.402214,-114.13365,We had a limited view of this slide and feel we did not see the full extent of the crown. ,O-Old Snow,FC-Faceted Crystals,40°,1500 ft,R4,1000 ft,BP - Bottom of Path,"Feb 8, 2024",100 cm (3.5 ft),,,
40,red meadow road path,14:00 (Estimated),Whitefish Range,Flathead Avalanche Center,"Mar 3, 2024",View Observation,1,W,"SW, W",6300 ft,D1.5,SS-Soft Slab,Storm Slab,N-Natural,"Feb 29, 2024 (Estimated)",Jeff Metsky,professional,48.402214,-114.13365,"Debris was buried from recent snow, but most likely failed on thursday during warm temps on Thursday afternoon. ",I-New/Old Interface,,40°,,R1,,MP - Middle of Path,"Feb 28, 2024",,,,
41,SE Chutes in Cascadilla,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Mar 2, 2024",View Observation,6,SE,"E, SE",6897 ft,D1.5,SS-Soft Slab,Wet Loose,N-Natural,"Feb 29, 2024 (Estimated)",Sarah Williams,forecaster,48.402214,-114.13365,,,,38°,499 ft,R2,,,,,,,
42,Peak 7673' (South Fork of Dickey Creek),Not Reported,Flathead Range & Glacier NP,Flathead Nordic Backcountry Patrol,"Mar 2, 2024",View Observation,1,N,,7400 ft,D2,HS-Hard Slab,Persistent Slab,N-Natural,"Feb 29, 2024 (Estimated)",Jackson George,public,48.402214,-114.13365,Persistent Slab avalanche estimated to have occurred 2/28 or 2/29. Unable to determine the vertical run due to flat light and recent snowfall.,O-Old Snow,,,,R1,150 ft,,,,,,
43,Elk Mountain (South Fork of Dickey Creek),Not Reported,Flathead Range & Glacier NP,Flathead Nordic Backcountry Patrol,"Mar 2, 2024",View Observation,1,N,,7200 ft,D2.5,HS-Hard Slab,Persistent Slab,N-Natural,"Feb 29, 2024 (Estimated)",Jackson George,public,48.402214,-114.13365,Hard Slab avalanche estimated to have occurred 2/28 or 2/29. Unable to determine the vertical run due to flat light and recent snowfall.,O-Old Snow,,,,R2,800 ft,,,,,,
44,Mt. Penrose,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Mar 8, 2024",View Observation,1,E,"NE, E, SE",6700 ft,D3,,Persistent Slab,N-Natural,"Feb 29, 2024 (Estimated)",blase reardon,forecaster,48.402214,-114.13365,Debris from multiple large and very large natural avalanches on the basin floor at about 4000 feet. Debris from one slideoff Mt. Penrse swept down the center of the basin to about 4500 feet. Crowns from these avalanches visible on the north facing slopes of Nyack Mountain and Mt. Penrose.,O-Old Snow,,,3200 ft,,,,,,,,
45,Near Grant Ridge,Not Reported,Flathead Range & Glacier NP,,"Mar 9, 2024",View Observation,1,NE,,7000 ft,D2,HS-Hard Slab,Persistent Slab,N-Natural,"Feb 29, 2024 (Estimated)",,public,48.402214,-114.13365,,O-Old Snow,FC-Faceted Crystals,,1600 ft,R3,250 ft,BP - Bottom of Path,,100 cm (3.5 ft),,,
46,Great Northern Mountain,Not Reported,Flathead Range & Glacier NP,,"Mar 9, 2024",View Observation,1,E,"NE, E",8300 ft,D1.5,U-Unknown,Wind Slab,NC-Cornice Fall,"Feb 29, 2024 (Estimated)",,public,48.402214,-114.13365,,S-New Snow,,,250 ft,R1,150 ft,MP - Middle of Path,,60 cm (2 ft),,,
47,Prominent peak southeast of Great Northern,Not Reported,Flathead Range & Glacier NP,,"Mar 9, 2024",View Observation,1,E,"NE, E",7400 ft,D2.5,HS-Hard Slab,Persistent Slab,N-Natural,"Feb 29, 2024 (Estimated)",,public,48.402214,-114.13365,,O-Old Snow,FC-Faceted Crystals,,500 ft,R3,600 ft,BP - Bottom of Path,,100 cm (3.5 ft),,,
48,South face just east of Standard peak.,12:40 (Estimated),Whitefish Range,Flathead Avalanche Center,"Feb 29, 2024",View Observation,1,S,,6000 ft,D2,SS-Soft Slab,Persistent Slab,N-Natural,"Feb 29, 2024 (Estimated)",guy zoellner,forecaster,48.402214,-114.13365,,I-New/Old Interface,,,,,,,,50 cm (1.5 ft),,,
49,Kimmerly Basin,Not Reported,Whitefish Range,Flathead Avalanche Center,"Mar 1, 2024",,2,SE,"SW, S, SE",6000 ft,D2,U-Unknown,Persistent Slab,N-Natural,"Feb 29, 2024 (Estimated)",blase reardon,forecaster,48.402214,-114.13365,Reported by rider in Kimmerly Basin. Dimensions estimated on CalTopo. Not clear from image whether 1 or 2 slides. Same aspect and elevation as slide 2.25 km N reported 2/29 with known time. ,I-New/Old Interface,,,250 ft,R3,500 ft,U - Unknown,,,,,
50,Northeast shoulder of Mt Penrose,Not Reported,Flathead Range & Glacier NP,,"Mar 9, 2024",View Observation,1,NE,,7000 ft,D2,HS-Hard Slab,Persistent Slab,N-Natural,"Feb 29, 2024 (Estimated)",,public,48.402214,-114.13365,,O-Old Snow,FC-Faceted Crystals,40°,1500 ft,R3,80 ft,,"Feb 5, 2024",100 cm (3.5 ft),,,
51,Castle Creek,Not Reported,Other,,"Mar 7, 2024",View Observation,1,N,,7300 ft,D2,HS-Hard Slab,Persistent Slab,N-Natural,"Feb 29, 2024 (Estimated)",Michael Reavis,public,48.402214,-114.13365,"Older D2 persistent slab on steep, north facing terrain in upper Castle Creek. ",,,,,,,,,,,,
52,Hay Creek,Not Reported,Whitefish Range,Flathead Avalanche Center,"Mar 9, 2024",View Observation,2,N,NE,7000 ft,D3,HS-Hard Slab,Persistent Slab,N-Natural,"Feb 29, 2024 (Estimated)",blase reardon for public,forecaster,48.402214,-114.13365,Saw a  couple D3 that went full path on Hay creek but they appeared to be several weeks old.,,,,,,,,,,,,
53,Sixmile Subpeak,14:45 (Exact),Swan Range,Flathead Avalanche Center,"Feb 28, 2024",View Observation,1,NE,,6900 ft,D1,,Wind Slab,AS-Skierc-Intentional,"Feb 28, 2024 (Exact)",Rob Millspaugh,forecaster,48.402214,-114.13365,Intentionally triggered wind slab below cornice on a convex test slope. ,I-New/Old Interface,,33°,50 ft,R2,40 ft,,,30 cm (1 ft),,,
54,Slippery Bill Mountain (South),Not Reported,Flathead Range & Glacier NP,,"Feb 26, 2024",View Observation,1,W,"W, NW",6875 ft,D2,HS-Hard Slab,Persistent Slab,AS-Skieru-Unintentional,"Feb 26, 2024 (Estimated)",,public,48.402214,-114.13365,Unintentionally-triggered slide that stepped down to deeper weak layer. ,O-Old Snow,,,600 ft,R2,100 ft,BP - Bottom of Path,,60 cm (2 ft),,,
55,Link Mountain,14:30 (Estimated),Whitefish Range,Flathead Avalanche Center,"Feb 20, 2024",View Observation,1,NE,"N, NE, E",7200 ft,D1,SS-Soft Slab,Wind Slab,AR-Snowboarderc-Intentional,"Feb 20, 2024 (Exact)",Jeff Metsky,professional,48.402214,-114.13365,"small wind slabs were relatively easy to trigger along leeward side of ridges. There isn't much snow to transport, so they do not appear to be gaining size with current wind speeds. We saw no others in the immediate area.",S-New Snow,PP-Precipitation Particles,30°,15 ft,R1,10 ft,TP - Top of Path,"Feb 20, 2024",5 cm (0 ft),,,
